ticker,n_buckets,bvc_mae,bvc_mean_signed_err,avg_e_frac,avg_c_frac,avg_p_frac,lr_mae_wholebucket_CIRCULAR,avg_gt_labelable_frac,n_buckets_with_c,lr_mae_C_only
AAPL,343,0.20716980268808793,0.01119193842498021,0.833251244737359,0.00862010341062416,0.15812865185201688,0.017416354586264324,0.8418713481479831,327,0.36218858426440004
AMZN,343,0.18049227351373212,-0.0011078255708160407,0.6649812263190955,0.002833594606264752,0.3321851790746398,0.03575697231707196,0.6678148209253603,95,0.18715435009199408
ETSY,340,0.20099020553164698,-0.006066277339812282,0.8452007248785126,0.004206235284842886,0.15059303983664454,0.03040671817221388,0.8494069601633555,115,0.4277763063993511
NFLX,343,0.1905990697965025,-0.0014276166133700841,0.7353706404479298,0.006732617188814891,0.25789674236325527,0.030398565244016948,0.7421032576367447,195,0.18248765406483716
WDAY,343,0.21128543932125368,-0.003552881328490547,0.7413599723621617,0.0071180527465837164,0.2515219748912546,0.04300341038431888,0.7484780251087454,138,0.23384072221073096
