ticker,n_lit,overall_agree_pct,e_n,e_agree_pct,c_n,c_agree_pct,quote_n,quote_agree_pct,tick_n,tick_agree_pct,inherit_n,inherit_agree_pct,at_midpoint_pct
AAPL,60060,99.72860472860472,59754,100.0,306,46.73202614379085,59907,99.90986028343933,35,28.571428571428573,118,28.8135593220339,0.2547452547452547
AMZN,14759,99.98644894640559,14734,100.0,25,92.0,14757,100.0,1,0.0,1,0.0,0.013551053594416966
ETSY,4097,99.85355137905785,4080,100.0,17,64.70588235294117,4091,99.95111219750672,2,50.0,4,25.0,0.1464486209421528
NFLX,11684,99.91441287230401,11621,100.0,63,84.12698412698413,11674,100.0,3,0.0,7,0.0,0.08558712769599452
WDAY,3793,99.68362773530187,3765,100.0,28,57.142857142857146,3786,99.86793449550977,1,0.0,6,0.0,0.18455048774057475
