ticker,n_dates,total_vol,hidden_vol,hidden_pct,coverage_pct,avg_median_spread,avg_median_price
AMZN,7,5812684,1940005,33.37537357957185,66.62462642042814,0.36571428571427794,1796.1699999999998
WDAY,7,4582817,1230032,26.84008547581106,73.15991452418895,0.08000000000000032,179.93785714285715
NFLX,7,9617104,2421115,25.175094290339377,74.82490570966063,0.08428571428571884,324.1392857142857
ETSY,7,4202736,697625,16.59930578556445,83.40069421443555,0.021428571428575287,55.49857142857143
AAPL,7,41584617,6337144,15.239154420972543,84.76084557902746,0.01857142857142386,231.85
