ticker,total_vol,hidden_vol,gt_gap_pct,median_spread,median_price
AAPL,5678176,651294,11.470127026707168,0.01999999999998181,290.78
AMZN,717078,312932,43.639882969495645,0.43000000000006366,1851.0
ETSY,364333,44575,12.2346863995301,0.010000000000005116,44.67
NFLX,727295,218438,30.034305199403267,0.06999999999999318,325.99
WDAY,285389,73965,25.917256796863228,0.06999999999999318,163.93
