ticker,n_train,beta,hac_se,p_value,r2_in_sample,n_test_pooled,r2_oos_pooled,significant_p<0.05,economically_negligible
AAPL,87643,1.5498023905606875e-09,3.421643232280032e-10,5.914871804340601e-06,0.0009005157401690278,65543,0.00138200387583709,True,True
AMZN,78483,1.8674531709317777e-08,2.4555749154324944e-09,2.850075501886578e-14,0.0032040837431198677,57496,0.00615964556798676,True,True
ETSY,43724,1.6362702752974064e-08,5.0648769480622374e-09,0.0012352118906170783,0.0008910823445447136,35235,0.0017177556249473591,True,True
NFLX,74870,1.544121534892185e-08,1.9876475186189678e-09,7.936564185191325e-15,0.002864097869940019,54680,0.0037413420138667774,True,True
WDAY,49842,5.841506190808777e-08,7.376588204769222e-09,2.394649161132557e-15,0.0060822614182824974,38659,-0.0018182773859638512,True,True
