ticker,test_date,r2_oos,n
AAPL,2019-10-30,0.0014393898057730725,21146
AAPL,2019-12-30,0.0032134321843386715,21948
AAPL,2020-01-30,8.60554006646419e-05,22449
AMZN,2019-10-30,0.004310258849507975,18135
AMZN,2019-12-30,0.006472413601986915,19694
AMZN,2020-01-30,0.00690819916850649,19667
ETSY,2019-10-30,0.003144680666241406,13035
ETSY,2019-12-30,-0.002898624385041293,9943
ETSY,2020-01-30,0.0011229081522136086,12257
NFLX,2019-10-30,0.004421258556595475,19510
NFLX,2019-12-30,0.00361064863809768,16936
NFLX,2020-01-30,0.0028114828113715573,18234
WDAY,2019-10-30,0.002870679963908551,12760
WDAY,2019-12-30,0.00020718157906141066,11906
WDAY,2020-01-30,-0.007662107394353246,13993
